fecha,TbFin,TbFinTGR
2020-05-01,386.953045142567,532.498706024381
2020-05-02,367.209737508458,505.863746667411
2020-05-03,367.209737508458,505.863746667411
2020-05-04,367.209737508458,505.863746667411
2020-05-05,375.591843855598,517.591438318475
2020-05-06,407.303239047914,562.143603569642
2020-05-31,359.428167351989,499.556302356624
2020-05-25,356.637760520408,493.723299779555
2020-05-26,356.637760520408,493.723299779555
2020-05-27,373.26408575097,517.41272890826
2020-05-28,368.633062709612,511.518946988631
2020-05-29,360.647382820664,501.034056819773
2020-05-30,361.605337831765,502.196121563354
2020-05-19,383.818826806055,528.411975602966
2020-05-20,397.850690548217,548.841999092572
2020-05-21,404.77862844574,559.440283557252
2020-05-22,374.040609888757,516.434816501094
2020-05-23,361.04018066139,499.025617052179
2020-05-24,356.637760520408,493.723299779555
2020-05-13,363.064042053216,500.878026268722
2020-05-14,352.629045374519,485.795677770068
2020-05-15,355.621747629845,489.525896525419
2020-05-16,366.872276084092,504.853176703048
2020-05-17,367.636100060747,505.770309767654
2020-05-18,367.636100060747,505.770309767654
2020-05-07,406.21102519056,559.461148107683
2020-05-08,390.031019908351,538.217407151261
2020-05-09,379.50712210173,522.319526877057
2020-05-10,376.339339053655,518.49314975885
2020-05-11,376.339339053655,518.49314975885
2020-05-12,374.811691100345,516.355894071202
2020-06-01,340.123015276934,472.417872326206
2020-06-02,336.598720562795,467.485674035145
2020-06-03,348.942370028763,484.823208289101
2020-06-04,354.505040604593,493.013905064895
2020-06-05,342.402694200134,476.927336682444
2020-06-06,340.680915212377,474.71750864547
2020-06-25,336.747493878914,467.092876194419
2020-06-26,314.332616635245,435.803307782559
2020-06-27,316.531558819819,438.238110102443
2020-06-28,318.026549215933,440.001618191062
2020-06-29,318.026549215933,440.001618191062
2020-06-30,343.359742056869,475.445953601829
2020-06-19,318.420254211026,442.019129502322
2020-06-20,323.390552985483,448.817344325425
2020-06-21,327.357539030509,453.530918414142
2020-06-22,327.357539030509,453.530918414142
2020-06-23,343.86774850215,476.631604358941
2020-06-24,336.234044507433,465.896339584908
2020-06-13,333.743905771188,464.202682382515
2020-06-14,340.105779343969,471.832757759766
2020-06-15,340.105779343969,471.832757759766
2020-06-16,320.88136400754,444.935630790857
2020-06-17,320.522130878377,444.660763017785
2020-06-18,326.57375765779,452.599270879671
2020-06-07,343.770682984927,478.446820246455
2020-06-08,343.770682984927,478.446820246455
2020-06-09,345.851695101847,481.356971454423
2020-06-10,340.409676056772,474.389118764771
2020-06-11,344.789417338589,480.336422792028
2020-06-12,345.722879181794,481.465829978412
2020-07-01,353.591536157454,489.31906532984
2020-07-02,342.457123462128,473.331376773346
2020-07-03,338.989979473084,468.589680899265
2020-07-04,335.540071417004,464.475735846854
2020-07-05,332.042991333862,460.305547223714
2020-07-06,332.042991333862,460.305547223714
2020-07-31,364.912822652293,507.717063038321
2020-07-25,355.561875441652,493.900194881037
2020-07-26,357.065030227064,495.720853694751
2020-07-27,357.065030227064,495.720853694751
2020-07-28,364.165327454236,505.655101163099
2020-07-29,365.883477824527,508.003723818158
2020-07-30,367.939089619183,511.783836063671
2020-07-19,355.556432515452,493.760493108585
2020-07-20,355.556432515452,493.760493108585
2020-07-21,344.226074476947,477.907063398343
2020-07-22,353.062665161741,489.798949989758
2020-07-23,353.450020076268,489.991266715471
2020-07-24,351.345421945817,487.72519510777
2020-07-13,370.178853750253,513.228932969623
2020-07-14,368.738292616134,511.212328812729
2020-07-15,357.943155653907,496.514613765503
2020-07-16,358.419411696359,497.360988789516
2020-07-17,361.210725682306,500.876211959989
2020-07-18,356.381942989034,494.760177220549
2020-07-07,356.35654266677,494.323835970227
2020-07-08,376.269488167429,522.458321495143
2020-07-09,364.451988234074,506.262894588703
2020-07-10,382.094326355198,530.084768254928
2020-07-11,371.951433382538,515.383424590235
2020-07-12,370.178853750253,513.228932969623
2020-08-01,359.955224038968,500.812711154329
2020-08-02,362.470763097477,503.868914215315
2020-08-03,362.470763097477,503.868914215315
2020-08-04,384.999034636967,535.388899836284
2020-08-05,407.978161896645,567.468599701429
2020-08-06,428.165068016009,594.661458993842
2020-08-31,457.902495306661,637.535388666847
2020-08-25,473.764089406201,659.577425465854
2020-08-26,466.232893854907,649.396432009797
2020-08-27,435.24722215585,606.175062214395
2020-08-28,459.461893662801,640.085399591285
2020-08-29,454.330121411094,633.036810163008
2020-08-30,457.902495306661,637.535388666847
2020-08-19,445.156069301934,619.919358022352
2020-08-20,449.812492665557,626.368318414325
2020-08-21,445.205055637729,619.676240652111
2020-08-22,440.632997630198,613.53661989914
2020-08-23,442.783860633344,616.230868367864
2020-08-24,442.783860633344,616.230868367864
2020-08-13,416.761230473811,579.034817875244
2020-08-14,424.51377169055,590.22728845003
2020-08-15,440.777235174483,612.991420124829
2020-08-16,439.349374201496,611.205233177046
2020-08-17,439.349374201496,611.205233177046
2020-08-18,445.004574522716,619.117433562301
2020-08-07,428.800983226977,595.116850485862
2020-08-08,414.083310783686,575.487844301941
2020-08-09,413.419273787354,574.663240982725
2020-08-10,413.419273787354,574.663240982725
2020-08-11,420.519571014526,584.59839560544
2020-08-12,423.254641429746,588.109990158447
2020-09-01,432.826027151465,602.5464447481
2020-09-02,413.184320806411,575.721890128516
2020-09-03,435.877694440618,607.401534918002
2020-09-04,436.83837091482,609.114242362093
2020-09-05,413.536296700642,576.267997057194
2020-09-06,410.246047813079,572.17854517268
2020-09-25,387.184369506043,540.091588072602
2020-09-26,381.165400283827,530.334235705736
2020-09-27,385.258480785807,535.349892198522
